Date,Brand,20 Days Moving NS,BW_Vol,BW_NVol
2019-12-18,Starbucks,-0.4124760363500001,45158,-1.1702910466167886
2019-12-17,Starbucks,-0.4027115195000001,32307,-1.4344322946641452
2019-12-16,Starbucks,-0.2641135680000001,36816,-1.341753679190989
2019-12-15,Starbucks,-0.18338884130000005,20241,-1.682438543122585
2019-12-14,Starbucks,-0.12518291285000002,13057,-1.830099482035682
2019-12-13,Starbucks,-0.017763430349999994,8525,-1.9232508427197237
2019-12-12,Starbucks,-0.04081142519999999,15532,-1.7792279865164844
2019-12-11,Starbucks,-0.15974354105000002,9991,-1.893118474060676
2019-12-10,Starbucks,-0.20584389460000002,16841,-1.75232261777522
2019-12-09,Starbucks,-0.18134331120000008,9441,-1.9044232508427197
2019-12-08,Starbucks,-0.13540509700000009,12591,-1.8396777110910136
2019-12-07,Starbucks,-0.005748492200000027,10308,-1.8866028118062979
2019-12-06,Starbucks,-0.003641948300000028,9358,-1.9061292444298281
2019-12-05,Starbucks,-0.13320635360000002,10124,-1.8903847734933816
2019-12-04,Starbucks,-0.11646325195000003,14791,-1.794458603962838
2019-12-03,Starbucks,-0.08216115305000002,16116,-1.7672243689879141
2019-12-02,Starbucks,-0.002603347350000074,22182,-1.6425429581517719
2019-12-01,Starbucks,0.09489867119999998,52708,-1.0151072926087314
2019-11-30,Starbucks,0.04000357514999993,56866,-0.9296431801364795
2019-11-29,Starbucks,0.12994675339999995,18425,-1.7197648606429334
2019-11-28,Starbucks,0.20099903425,8091,-1.9321713393077367
2019-11-27,Starbucks,0.23090530189999997,7866,-1.9367960207185728
2019-11-26,Starbucks,0.25866805714999996,10816,-1.87616130888761
2019-11-25,Starbucks,0.37239042605,8916,-1.9152141741346707
2019-11-24,Starbucks,0.3995077596,7482,-1.9446888103263997
2019-11-23,Starbucks,0.368488335,7132,-1.9518827591877004
2019-11-22,Starbucks,0.3447970826,9108,-1.9112677793307573
2019-11-21,Starbucks,0.39262838229999997,11999,-1.8518457617364137
2019-11-20,Starbucks,0.5077719293999999,8091,-1.9321713393077367
2019-11-19,Starbucks,0.5366332978500001,7724,-1.9397147085423003
2019-11-18,Starbucks,0.53095571385,9349,-1.9063142316862616
2019-11-17,Starbucks,0.49894080725,11533,-1.8614239907917454
2019-11-16,Starbucks,0.6150292348999999,12357,-1.8444873797582833
2019-11-15,Starbucks,0.7992317378999999,8658,-1.9205171421524294
2019-11-14,Starbucks,0.7869253235,12041,-1.8509824878730576
2019-11-13,Starbucks,0.7596094947500001,12191,-1.8478993669325001
2019-11-12,Starbucks,0.6941939108999999,13966,-1.811415769135904
2019-11-11,Starbucks,0.6378012329,8916,-1.9152141741346707
2019-11-10,Starbucks,0.5667149882,9666,-1.8997985694318835
2019-11-09,Starbucks,0.5927500095999999,8541,-1.9229219764860643
2019-11-08,Starbucks,0.81622832905,11924,-1.8533873222066923
2019-11-07,Starbucks,1.0131440946499999,26124,-1.5615185398339224
2019-11-06,Starbucks,1.00235698435,11825,-1.8554221820274603
2019-11-05,Starbucks,0.88982433805,7550,-1.943291128833347
2019-11-04,Starbucks,0.94237142695,10683,-1.8788950094549042
2019-11-03,Starbucks,0.9684756903,14358,-1.8033585464112472
2019-11-02,Starbucks,0.96613607315,9832,-1.8963865822576667
2019-11-01,Starbucks,0.88216399475,12800,-1.835381895913837
2019-10-31,Starbucks,0.7719875896499999,8741,-1.918811148565321
2019-10-30,Starbucks,0.7268428694500002,8200,-1.9299309380909315
2019-10-29,Starbucks,0.7530316654000002,7566,-1.9429622625996876
2019-10-28,Starbucks,0.8548901534000002,10791,-1.876675162377703
2019-10-27,Starbucks,0.8773617207500001,8107,-1.931842473074077
2019-10-26,Starbucks,0.8923076522500002,5875,-1.9777193126695716
2019-10-25,Starbucks,0.9064087737000002,7924,-1.9356038806215572
2019-10-24,Starbucks,0.9727019728500002,11441,-1.8633149716352873
2019-10-23,Starbucks,0.9947159670500001,12166,-1.8484132204225932
2019-10-22,Starbucks,1.0218154074500003,14966,-1.7908616295321877
2019-10-21,Starbucks,1.1646948952,8999,-1.9135081805475622
2019-10-20,Starbucks,1.12632698225,49600,-1.0789895584970814
2019-10-19,Starbucks,0.8814841034999998,91675,-0.21417413467072266
2019-10-18,Starbucks,0.6852238139500001,13608,-1.8187741511140343
2019-10-17,Starbucks,0.7222770162000002,14133,-1.8079832278220833
2019-10-16,Starbucks,0.8003176342000001,10858,-1.8752980350242539
2019-10-15,Starbucks,0.6011401982500001,7608,-1.9420989887363316
2019-10-14,Starbucks,0.5250192729000001,7124,-1.9520471923045302
2019-10-13,Starbucks,0.5387194598500001,7050,-1.9535681986352051
2019-10-12,Starbucks,0.6448050229500001,10175,-1.8893365123735921
2019-10-11,Starbucks,0.6782327761,11241,-1.8674257995560306
2019-10-10,Starbucks,0.5784343950000002,9608,-1.9009907095288991
2019-10-09,Starbucks,0.4714774787500001,10724,-1.8780522897311518
2019-10-08,Starbucks,0.40110159025000014,16100,-1.7675532352215737
2019-10-07,Starbucks,0.32810696764999997,13266,-1.8258036668585054
2019-10-06,Starbucks,0.24481310009999996,6183,-1.971388637671627
2019-10-05,Starbucks,0.234036477,9658,-1.8999630025487133
2019-10-04,Starbucks,0.14327132744999999,9841,-1.8962015950012332
2019-10-03,Starbucks,0.11409015139999996,8358,-1.9266833840335444
2019-10-02,Starbucks,0.10825148469999997,9258,-1.9081846583901998
2019-10-01,Starbucks,0.04063969135,8983,-1.9138370467812218
2019-09-30,Starbucks,0.017786632700000006,9783,-1.8973937350982488
2019-09-29,Starbucks,0.05656151520000002,9883,-1.8953383211378771
2019-09-28,Starbucks,0.01731435709999999,11774,-1.8564704431472498
2019-09-27,Starbucks,-0.03911339049999999,15391,-1.7821261202006085
